id,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
30885,Argentina,"Overall this is a weak wine with resiny aromas of varnish followed by woody flavors of banana and vanilla. The finish is more or less the same, only less potent.",Alta Collection,82,19.0,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Tapiz 2011 Alta Collection Chardonnay (Mendoza),Chardonnay,Tapiz
30887,US,"The dominant dark-cherry aroma smells bitter and high pitched. The palate feels supple and medium bodied, and it tastes a touch confected, like blackberry jelly used to fill donuts.",Reserve,82,25.0,Virginia,Virginia,,,,Ingleside 2007 Reserve Cabernet Sauvignon (Virginia),Cabernet Sauvignon,Ingleside
30891,Argentina,"The nose deals a mix of exotic aromas along with offputting sweat, compost and funky cheese. The palate is pasty feeling and tannic, with lactic flavors of oak, licorice and medicinal berry. On the finish, clove and spice notes dominate.",Roble,82,13.0,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Telteca 2010 Roble Merlot (Mendoza),Merlot,Telteca
30892,Argentina,"Tropical fruit aromas are the lead-in, but upon airing the wine's pineapple and mango scents turn austere and prickly. The mouthfeel here is astringent and acidic, and the flavors are briny, even pickled.",Don David Reserve,82,17.0,Other,Calchaquí Valley,,Michael Schachner,@wineschach,Michel Torino 2012 Don David Reserve Chardonnay (Calchaquí Valley),Chardonnay,Michel Torino
30895,Spain,"Peach and melon aromas come with accents of vanilla and honey. The palate on this Garancha Blanca is chunky, without much acidic cut. Flavors of grapefruit and orange are flabby, pithy and dull, while bitterness controls the finish.",Menguante,82,24.0,Northern Spain,Cariñena,,Michael Schachner,@wineschach,Viñedos y Bodegas Pablo 2011 Menguante Garnacha Blanca (Cariñena),Garnacha Blanca,Viñedos y Bodegas Pablo
30893,Spain,This basic wine opens with earthy red-berry aromas. The palate offers choppiness and green-leaning flavors of berry and tea. The finish is scratchy and hollow. An OK Garnacha on its best day.,Cátulo,82,12.0,Northern Spain,Navarra,,Michael Schachner,@wineschach,Bodegas la Casa de Lúcolo 2010 Cátulo Garnacha (Navarra),Garnacha,Bodegas la Casa de Lúcolo
30894,Spain,"Maderized aromas of applesauce and dust are not terribly welcoming. Meanwhile, the palate is mild and tastes nutty, like soft apples and spice. This is acceptable barrel-fermented Viura but it lacks freshness and character.",Conde de Valdemar Finca Alto Cantabria,82,15.0,Northern Spain,Rioja,,Michael Schachner,@wineschach,Bodegas Valdemar 2011 Conde de Valdemar Finca Alto Cantabria Viura (Rioja),Viura,Bodegas Valdemar
30896,US,"There may be an interesting wine lurking in the dark shadows here, but the oak and alcohol are overpowering in ways that mask the plummy cinnamon within.",Estate,82,30.0,California,South Coast,,Virginie Boone,@vboone,Orfila 2010 Estate Sangiovese,Sangiovese,Orfila
30897,US,"Not quite ripe, with earthy, green tomato, raspberry Newton cookie and spicy oak flavors. Drink now.",Huntington,82,22.0,California,Santa Barbara County,Central Coast,,,Pali 2011 Huntington Pinot Noir (Santa Barbara County),Pinot Noir,Pali
30900,Italy,"This savory blend of 95% Sangiovese and 5% Canaiolo leads with earthy aromas of freshly tilled soil, underbrush, black berries and plum. The vibrant, structured palate offers sour cherry layered with white pepper, thyme and sage balanced by fresh acidity and a solidly tannic backbone. Hold to develop complexity. Drink 2015–2020.",Riserva,91,35.0,Tuscany,Chianti Classico,,Kerin O’Keefe,@kerinokeefe,Castellare di Castellina 2010 Riserva  (Chianti Classico),Red Blend,Castellare di Castellina
